paper_name https://www.aclweb.org/anthology/events/acl-2020/#2020-acl-main,"Stage {1,2,3,4}",track https://acl2020.org/blog/general-conference-statistics/,"social good domain {bias mitigation, education, equality, fighting misinformation, green NLP, healthcare, interpretability, legal applications, low-resource language, mental healthcare, robustness, science literature parsing, and others}",author
Dependency Graph Enhanced Dual-transformer Structure for Aspect-based Sentiment Classification,2;3,sentiment and argument analysis,,"Hao Tang, Donghong Ji, Chenliang Li and Qiji Zhou"
Synchronous Double-channel Recurrent Network for Aspect-Opinion Pair Extraction,2,sentiment and argument analysis,,"Shaowei Chen, Jie Liu, Yu Wang, Wenzheng Zhang and Ziming Chi"
"MATINF: A Jointly Labeled Large-Scale Dataset for Classification, Question Answering and Summarization",2,dataset; sentiment and argument analysis; question answering; summarization,,"Canwen Xu, Jiaxin Pei, Hongtao Wu, Yiyu Liu and Chenliang Li"
Empower Entity Set Expansion via Language Model Probing,2,information extraction,,"Yunyi Zhang, Jiaming Shen, Jingbo Shang and Jiawei Han"
A Tale of Two Perplexities: Sensitivity of Neural Language Models to Lexical Retrieval Deficits in Dementia of the Alzheimer’s Type,3,language modeling,healthcare,Trevor Cohen and Serguei Pakhomov
Improving Multimodal Named Entity Recognition via Entity Span Detection with Unified Multimodal Transformer,2,information extraction,,"Jianfei Yu, Jing Jiang, Li Yang and Rui Xia"
Generating Diverse and Consistent QA pairs from Contexts with Information-Maximizing Hierarchical Conditional VAEs,2,question answering,,"Dong Bok Lee, Seanie Lee, Woo Tae Jeong, Donghwan Kim and Sung Ju Hwang"
"Exact yet Efficient Graph Parsing, Bi-directional Locality and the Constructivist Hypothesis",2,semantic parsing,,Yajie Ye and Weiwei Sun
Aligned Dual Channel Graph Convolutional Network for Visual Question Answering,2;3,question answering,,"Qingbao Huang, Jielong Wei, Yi Cai, Changmeng Zheng, Junying Chen, Ho-fung Leung and Qing Li"
Learning to execute instructions in a Minecraft dialogue,2,robotics,,"Prashant Jayannavar, Anjali Narayan-Chen and Julia Hockenmaier"
"In Neural Machine Translation, What Does Transfer Learning Transfer?",2,machine translation; interpretability,interpretability; low-resource,"Alham Fikri Aji, Nikolay Bogoychev, Kenneth Heafield and Rico Sennrich"
Integrating Multimodal Information in Large Pretrained Transformers,3,sentiment and argument analysis,,"Wasifur Rahman, Md Kamrul Hasan, Sangwu Lee, AmirAli Bagher Zadeh, Chengfeng Mao, Louis-Philippe Morency and Ehsan Hoque"
Roles and Utilization of Attention Heads in Transformer-based Neural Language Models,2,language modeling; interpretability,,Jae-young Jo and Sung-Hyon Myaeng
Transition-based Semantic Dependency Parsing with Pointer Networks,2,syntax parsing,,Daniel Fernández-González and Carlos Gómez-Rodríguez
Bridging the Structural Gap Between Encoding and Decoding for Data-To-Text Generation,2;3,data-to-text generation,,"Chao Zhao, Marilyn Walker and Snigdha Chaturvedi"
Emergence of Syntax Needs Minimal Supervision,1,syntax parsing,,Raphaël Bailly and Kata Gábor
AMR Parsing with Latent Structural Information,2,semantic parsing,,"Qiji Zhou, Yue Zhang, Donghong Ji and Hao Tang"
"Extracting Headless MWEs from Dependency Parse Trees: Parsing, Tagging, and Joint Modeling Approaches",2,syntax parsing; tagging,,Tianze Shi and Lillian Lee
Efficient Constituency Parsing by Pointing,2,syntax parsing,,"Thanh-Tung Nguyen, Xuan-Phi Nguyen, Shafiq Joty and Xiaoli Li"
Structured Tuning for Semantic Role Labeling,2,semantic parsing,,"Tao Li, Parth Anand Jawale, Martha Palmer and Vivek Srikumar"
A Novel Cascade Binary Tagging Framework for Relational Triple Extraction,2,information extraction,,"Zhepei Wei, Jianlin Su, Yue Wang, Yuan Tian and Yi Chang"
Coupling Distant Annotation and Adversarial Training for Cross-Domain Chinese Word Segmentation,2,segmentation,,"Ning Ding, Dingkun Long, Guangwei Xu, Muhua Zhu, Pengjun Xie, Xiaobin Wang and Haitao Zheng"
Investigating the effect of auxiliary objectives for the automated grading of learner English speech transcriptions,3;4,automatic grading,,"Hannah Craighead, Andrew Caines, Paula Buttery and Helen Yannakoudakis"
Cross-modal Coherence Modeling for Caption Generation,3,caption generation,,"Malihe Alikhani, Piyush Sharma, Shengjie Li, Radu Soricut and Matthew Stone"
Orthogonal Relation Transforms with Graph Context Modeling for Knowledge Graph Embedding,2,information extraction; knowledge graph,,"Yun Tang, Jing Huang, Guangtao Wang, Xiaodong He and Bowen Zhou"
Improving Chinese Word Segmentation with Wordhood Memory Networks,2,segmentation,,"Yuanhe Tian, Yan Song, Fei Xia, Tong Zhang and Yonggang Wang"
More Diverse Dialogue Datasets via Diversity-Informed Data Collection,2,dialog,low-resource,"Katherine Stasaski, Grace Hui Yang and Marti A. Hearst"
Grounded Conversation Generation as Guided Traverses in Commonsense Knowledge Graphs,2;3,dialog,,"Houyu Zhang, Zhenghao Liu, Chenyan Xiong and Zhiyuan Liu"
DeFormer: Decomposing Pre-trained Transformers for Faster Question Answering,2;3,question answering,greenNLP,"Qingqing Cao, Harsh Trivedi, Aruna Balasubramanian and Niranjan Balasubramanian"
Boosting Neural Machine Translation with Similar Translations,3,machine translation,,"Jitao XU, Josep Crego and Jean Senellart"
Bipartite Flat-Graph Network for Nested Named Entity Recognition,2,information extraction,,Ying Luo and Hai Zhao
Generating Informative Conversational Response using Recurrent Knowledge-Interaction and Knowledge-Copy,2;3,dialog,,"Xiexiong Lin, Weiyu Jian, Jianshan He, Taifeng Wang and Wei Chu"
Location Attention for Extrapolation to Longer Sequences,2,model architecture; out-of-distribution,,"Yann Dubois, Gautier Dagan, Dieuwke Hupkes and Elia Bruni"
Unsupervised Opinion Summarization with Noising and Denoising,3,summarization,,Reinald Kim Amplayo and Mirella Lapata
Adversarial and Domain-Aware BERT for Cross-Domain Sentiment Analysis,2;3,sentiment and argument analysis,,"Chunning Du, Haifeng Sun, Jingyu Wang, Qi Qi and Jianxin Liao"
MixText: Linguistically-Informed Interpolation of Hidden Space for Semi-Supervised Text Classification,2,sentiment and argument analysis,,"Jiaao Chen, Zichao Yang and Diyi Yang"
Continual Relation Learning via Episodic Memory Activation and Reconsolidation,2,information extraction,,"Xu Han, Yi Dai, Tianyu Gao, Yankai Lin, Zhiyuan Liu, Peng Li, Maosong Sun and Jie Zhou"
Do Neural Language Models Show Preferences for Syntactic Formalisms?,2,syntax parsing; interpretability,,"Artur Kulmizev, Vinit Ravishankar, Mostafa Abdou and Joakim Nivre"
What Was Written vs. Who Read It: News Media Profiling Using Text Analysis and Social Media Context,3,media profiling,misinformation,"Ramy Baly, Georgi Karadzhov, Jisun An, Haewoon Kwak, Yoan Dinkov, Ahmed Ali, James Glass and Preslav Nakov"
Parsing into Variable-in-situ Logico-Semantic Graphs,2,semantic parsing,,Yufei Chen and Weiwei Sun
"Joint Diacritization, Lemmatization, Normalization, and Fine-Grained Morphological Tagging",2,tagging,,Nasser Zalmout and Nizar Habash
Fine-grained Fact Verification with Kernel Graph Attention Network,3,misinformation,misinformation,"Zhenghao Liu, Chenyan Xiong, Maosong Sun and Zhiyuan Liu"
Beyond Accuracy: Behavioral Testing of NLP Models with CheckList,2,interpretability,,"Marco Tulio Ribeiro, Tongshuang Wu, Carlos Guestrin and Sameer Singh"
Heterogeneous Graph Neural Networks for Extractive Document Summarization,2;3,summarization,,"Danqing Wang, Pengfei Liu, Yining Zheng, Xipeng Qiu and Xuanjing Huang"
"Stock Embeddings Acquired from News Articles and Price History, and an Application to Portfolio Optimization",3;4,stock market,,Xin Du and Kumiko Tanaka-Ishii
Refer360° : A Referring Expression Recognition Dataset in 360° Images,2,robotics,,"Volkan Cirik, Taylor Berg-Kirkpatrick and Louis-Philippe Morency"
Estimating predictive uncertainty for rumour verification models,3;4,misinformation,misinformation,Elena Kochkina and Maria Liakata
schuBERT: Optimizing Elements of BERT,2,model architecture,,Ashish Khetan and Zohar Karnin
SEEK: Segmented Embedding of Knowledge Graphs,2,knowledge graph,,"Wentao Xu, Shun Zheng, Liang He, Bin Shao, Jian Yin and Tie-Yan Liu"
Target Inference in Argument Conclusion Generation,3,language modeling,,"Milad Alshomary, Shahbaz Syed, Martin Potthast and Henning Wachsmuth"
Benchmarking Multimodal Regex Synthesis with Complex Structures,3,semantic parsing,,"Xi Ye, Qiaochu Chen, Isil Dillig and Greg Durrett"
Tangled up in BLEU: Reevaluating the Evaluation of Automatic Machine Translation Evaluation Metrics,2,machine translation,,"Nitika Mathur, Timothy Baldwin and Trevor Cohn"
Integrating Semantic and Structural Information with Graph Convolutional Network for Controversy Detection,3;4,misinformation,misinformation,"Lei Zhong, Juan Cao, Qiang Sheng, Junbo Guo and Ziang Wang"
Distinguish Confusing Law Articles for Legal Judgment Prediction,3;4,legal judgement prediction,legal,"Nuo Xu, Pinghui Wang, Long Chen, Li Pan, Xiaoyan Wang and Junzhou Zhao"
On the Robustness of Language Encoders against Grammatical Errors,2,language modeling,,"Fan Yin, Quanyu Long, Tao Meng and Kai-Wei Chang"
From Zero to Hero: Human-In-The-Loop Entity Linking in Low Resource Domains,2,information extraction; low-resource,low-resource,"Jan-Christoph Klie, Richard Eckart de Castilho and Iryna Gurevych"
CluHTM - Semantic Hierarchical Topic Modeling based on CluWords,2;3,topic modeling,,"Felipe Viegas, Washington Cunha, Christian Gomes, Antônio Pereira, Leonardo Rocha and Marcos Goncalves"
Cross-modal Language Generation using Pivot Stabilization for Web-scale Language Coverage,3;4,caption generation; low-resource,equality,Ashish V. Thapliyal and Radu Soricut
Harnessing the linguistic signal to predict scalar inferences,2,psycholinguistics,,"Sebastian Schuster, Yuxing Chen and Judith Degen"
Masked Language Model Scoring,2,model architecture,,"Julian Salazar, Davis Liang, Toan Q. Nguyen and Katrin Kirchhoff"
Emerging Cross-lingual Structure in Pretrained Language Models,2,language modeling; interpretability,,"Alexis Conneau, Shijie Wu, Haoran Li, Luke Zettlemoyer and Veselin Stoyanov"
Tchebycheff Procedure for Multi-task Text Classification,3,sentiment and argument analysis,,"Yuren Mao, Shuang Yun, Weiwei Liu and Bo Du"
Fluent Response Generation for Conversational Question Answering,3,dialog,,"Ashutosh Baheti, Alan Ritter and Kevin Small"
A Joint Model for Document Segmentation and Segment Labeling,2,segmentation,,"Joe Barrow, Rajiv Jain, Vlad Morariu, Varun Manjunatha, Douglas Oard and Philip Resnik"
Hyperbolic Capsule Networks for Multi-Label Classification,3,sentiment and argument analysis,,"Boli Chen, Xin Huang, Lin Xiao and Liping Jing"
Predicting Declension Class from Form and Meaning,2,noun classification (ontology),,"Adina Williams, Tiago Pimentel, Arya D. McCarthy, Hagen Blix, Eleanor Chodroff and Ryan Cotterell"
Analysing Lexical Semantic Change with Contextualised Word Representations,2,word meaning,,"Mario Giulianelli, Marco Del Tredici and Raquel Fernández"
Discourse-Aware Neural Extractive Text Summarization,3,summarization,,"Jiacheng Xu, Zhe Gan, Yu Cheng and Jingjing Liu"
MultiQT: Multimodal learning for real-time question tracking in speech,2;3,question answering,,"Jakob D. Havtorn, Jan Latko, Joakim Edin, Lars Maaløe, Lasse Borgholt, Lorenzo Belgrano, Nicolai Jacobsen, Regitze Sdun and Željko Agić"
Language Models as an Alternative Evaluator of Word Order Hypotheses: A Case Study in Japanese,2,word order,,"Tatsuki Kuribayashi, Takumi Ito, Jun Suzuki and Kentaro Inui"
Negative Training for Neural Dialogue Response Generation,3,dialog,,Tianxing He and James Glass
A Batch Normalized Inference Network Keeps the KL Vanishing Away,2,model architecture,,"Qile Zhu, Wei Bi, Xiaojiang Liu, Xiyao Ma, Xiaolin Li and Dapeng Wu"
Towards Transparent and Explainable Attention Models,2,model architecture; interpretability,interpretability,"Akash Kumar Mohankumar, Preksha Nema, Sharan Narasimhan, Mitesh M. Khapra, Balaji Vasan Srinivasan and Balaraman Ravindran"
Learning Source Phrase Representations for Neural Machine Translation,2,machine translation,,"Hongfei Xu, Josef van Genabith, Deyi Xiong, Qiuhui Liu and Jingyi Zhang"
Neural Generation of Dialogue Response Timings,3;4,dialog,,Matthew Roddy and Naomi Harte
Learning to Update Natural Language Comments Based on Code Changes,3;4,code,,"Sheena Panthaplackel, Pengyu Nie, Milos Gligoric, Junyi Jessy Li and Raymond Mooney"
Word-level Textual Adversarial Attacking as Combinatorial Optimization,2,robustness,robustness,"Yuan Zang, Fanchao Qi, Chenghao Yang, Zhiyuan Liu, Meng Zhang, Qun Liu and Maosong Sun"
From English to Code-Switching: Transfer Learning with Strong Morphological Clues,2;3,language modeling,low-resource,Gustavo Aguilar and Thamar Solorio
Representation Learning for Information Extraction from Form-like Documents,2;3,information extraction,,"Bodhisattwa Prasad Majumder, Navneet Potti, Sandeep Tata, James Bradley Wendt, Qi Zhao and Marc Najork"
A Novel Graph-based Multi-modal Fusion Encoder for Neural Machine Translation,3,machine translation,,"Yongjing Yin, Fandong Meng, Jinsong Su, Chulun Zhou, Zhengyuan Yang, Jie Zhou and Jiebo Luo"
Differentiable Window for Dynamic Local Attention,2,model architecture,,"Thanh-Tung Nguyen, Xuan-Phi Nguyen, Shafiq Joty and Xiaoli Li"
TXtract: Taxonomy-Aware Knowledge Extraction for Thousands of Product Categories,4,information extraction,,"Giannis Karamanolakis, Jun Ma and Xin Luna Dong"
Effective Estimation of Deep Generative Language Models,2,model architecture,,Tom Pelsmaeker and Wilker Aziz
"Generate, Delete and Rewrite: A Three-Stage Framework for Improving Persona Consistency of Dialogue Generation",3;4,dialog,,"Haoyu Song, Yan Wang, Wei-Nan Zhang, Xiaojiang Liu and Ting Liu"
End-to-End Bias Mitigation by Modelling Biases in Corpora,2,bias,equality,"Rabeeh Karimi Mahabadi, Yonatan Belinkov and James Henderson"
Dialogue Coherence Assessment Without Explicit Dialogue Act Labels,2,dialog,,"Mohsen Mesgar, Sebastian Bücker and Iryna Gurevych"
Reducing Gender Bias in Neural Machine Translation as a Domain Adaptation Problem,3,machine translation; bias,equality; low-resource,Danielle Saunders and Bill Byrne
Predicting Depression in Screening Interviews from Latent Categorization of Interview Prompts,4,mental healthcare,,"Alex Rinaldi, Jean Fox Tree and Snigdha Chaturvedi"
Towards Conversational Recommendation over Multi-Type Dialogs,3;4,dialog,,"Zeming Liu, Haifeng Wang, Zheng-Yu Niu, Hua Wu, Wanxiang Che and Ting Liu"
"ECPE-2D: Emotion-Cause Pair Extraction based on Joint Two-Dimensional Representation, Interaction and Prediction",3,dialog,,"Zixiang Ding, Rui Xia and Jianfei Yu"
"R^3: Reverse, Retrieve, and Rank for Sarcasm Generation with Commonsense Knowledge",3,sarcasm generation,,"Tuhin Chakrabarty, Debanjan Ghosh, Smaranda Muresan and Nanyun Peng"
Syntax-Aware Opinion Role Labeling with Dependency Graph Convolutional Networks,2;3,semantic parsing,,"Bo Zhang, Yue Zhang, Rui Wang, Zhenghua Li and Min Zhang"
Contextualized Weak Supervision for Text Classification,2,sentiment and argument analysis,,Dheeraj Mekala and Jingbo Shang
SentiBERT: A Transferable Transformer-Based Architecture for Compositional Sentiment Semantics,2,sentiment and argument analysis,,"Da Yin, Tao Meng and Kai-Wei Chang"
“The Boating Store Had Its Best Sail Ever”: Pronunciation-attentive Contextualized Pun Recognition,2,pun classification,,"Yichao Zhou, Jyun-Yu Jiang, Jieyu Zhao, Kai-Wei Chang and Wei Wang"
The SOFC-Exp Corpus and Neural Approaches to Information Extraction in the Materials Science Domain,2;4,information extraction,science literature,"Annemarie Friedrich, Heike Adel, Federico Tomazic, Johannes Hingerl, Renou Benteau, Anika Marusczyk and Lukas Lange"
Estimating the influence of auxiliary tasks for multi-task learning of sequence tagging tasks,2,tagging,,Fynn Schröder and Chris Biemann
Injecting Numerical Reasoning Skills into Language Models,2,language modeling,,"Mor Geva, Ankit Gupta and Jonathan Berant"
Simplify the Usage of Lexicon in Chinese NER,2,tagging,,"Ruotian Ma, Minlong Peng, Qi Zhang, Zhongyu Wei and Xuanjing Huang"
Analyzing analytical methods: The case of phonology in neural models of spoken language,2,phonology,,"Grzegorz Chrupała, Bertrand Higy and Afra Alishahi"
Universal Decompositional Semantic Parsing,2,semantic parsing,,"Elias Stengel-Eskin, Aaron Steven White, Sheng Zhang and Benjamin Van Durme"
Toward Gender-Inclusive Coreference Resolution,2,information extraction,,Yang Trista Cao and Hal Daumé III
Enhancing Answer Boundary Detection for Multilingual Machine Reading Comprehension,3,question answering,,"Fei Yuan, Linjun Shou, Xuanyu Bai, Ming Gong, Yaobo Liang, Nan Duan, Yan Fu and Daxin Jiang"
Speakers enhance contextually confusable words,2,dialog,,"Eric Meinhardt, Eric Bakovic and Leon Bergen"
Evidence-Aware Inferential Text Generation with Vector Quantised Variational AutoEncoder,2,data-to-text generation,,"Daya Guo, Duyu Tang, Nan Duan, Jian Yin, Daxin Jiang and Ming Zhou"
Improving Neural Machine Translation with Soft Template Prediction,3,machine translation,,"Jian Yang, Shuming Ma, Dongdong Zhang, Zhoujun Li and Ming Zhou"
Probabilistic Assumptions Matter: Improved Models for Distantly-Supervised Document-Level Question Answering,3,question answering,,"Hao Cheng, Ming-Wei Chang, Kenton Lee and Kristina Toutanova"
Document Modeling with Graph Attention Networks for Multi-grained Machine Reading Comprehension,3,question answering,,"Bo Zheng, Haoyang Wen, Yaobo Liang, Nan Duan, Wanxiang Che, Daxin Jiang, Ming Zhou and Ting Liu"
Semantic Parsing for English as a Second Language,2,semantic parsing; low-resource,low-resource,"Yuanyuan Zhao, Weiwei Sun, Junjie Cao and Xiaojun Wan"
Empowering Active Learning to Jointly Optimize System and User Demands,4,interactive system; education,education,"Ji-Ung Lee, Christian M. Meyer and Iryna Gurevych"
Learning Web-based Procedures by Reasoning over Explanations and Demonstrations in Context,3,dialog,,"Shashank Srivastava, Oleksandr Polozov, Nebojsa Jojic and Christopher Meek"
Generalizing Natural Language Analysis through Span-relation Representations,2,information extraction; semantic parsing,,"Zhengbao Jiang, Wei Xu, Jun Araki and Graham Neubig"
Generative Semantic Hashing Enhanced via Boltzmann Machines,4,information retrieval,,"Lin Zheng, Qinliang Su, Dinghan Shen and Changyou Chen"
Low-Resource Generation of Multi-hop Reasoning Questions,2,question answering,,"Jianxing Yu, Wei Liu, Shuang Qiu, Qinliang Su, Kai Wang, Xiaojun Quan and Jian Yin"
STARC: Structured Annotations for Reading Comprehension,2,question answering,,"Yevgeni Berzak, Jonathan Malmaud and Roger Levy"
Unsupervised Dual Paraphrasing for Two-stage Semantic Parsing,2,semantic parsing,,"Ruisheng Cao, Su Zhu, Chenyu Yang, Chen Liu, Rao Ma, Yanbin Zhao, Lu Chen and Kai Yu"
Multimodal Neural Graph Memory Networks for Visual Question Answering,3,question answering,,Mahmoud Khademi
Semi-supervised Contextual Historical Text Normalization,2,text normalization,,Peter Makarov and Simon Clematide
Efficient Pairwise Annotation of Argument Quality,2,sentiment and argument analysis,,"Lukas Gienapp, Benno Stein, Matthias Hagen and Martin Potthast"
Learning to Segment Actions from Observation and Narration,2,robotics,,"Daniel Fried, Jean-Baptiste Alayrac, Phil Blunsom, Chris Dyer, Stephen Clark and Aida Nematzadeh"
Cross-media Structured Common Space for Multimedia Event Extraction,2,information extraction,,"Manling Li, Alireza Zareian, Qi Zeng, Spencer Whitehead, Di Lu, Heng Ji and Shih-Fu Chang"
Language (Re)modelling: Towards Embodied Language Understanding,1,psycholinguistics,,"Ronen Tamari, Chen Shani, Tom Hope, Miriam R L Petruck, Omri Abend and Dafna Shahaf"
DoQA - Accessing Domain-Specific FAQs via Conversational QA,3,dialog,,"Jon Ander Campos, Arantxa Otegi, Aitor Soroa, Jan Deriu, Mark Cieliebak and Eneko Agirre"
Slot-consistent NLG for Task-oriented Dialogue Systems with Iterative Rectification Network,3,dialog,,"Yangming Li, Kaisheng Yao, Libo Qin, Wanxiang Che, Xiaolong Li and Ting Liu"
Understanding the Language of Political Agreement and Disagreement in Legislative Texts,4,legal and political text,,"Maryam Davoodi, Eric Waltenburg and Dan Goldwasser"
Speech Translation and the End-to-End Promise: Taking Stock of Where We Are,3;4,speech; machine translation,,Matthias Sperber and Matthias Paulik
BiRRE: Learning Bidirectional Residual Relation Embeddings for Supervised Hypernymy Detection,2,word meaning,,Chengyu Wang and Xiaofeng He
Neural Data-to-Text Generation via Jointly Learning the Segmentation and Correspondence,3,data-to-text generation,,"Xiaoyu Shen, Ernie Chang, Hui Su, Cheng Niu and Dietrich Klakow"
INFOTABS: Inference on Tables as Semi-structured Data,3,information retrieval,,"Vivek Gupta, Maitrey Mehta, Pegah Nokhiz and Vivek Srikumar"
Speaker Sensitive Response Evaluation Model,3,dialog,,JinYeong Bak and Alice Oh
Semi-Supervised Dialogue Policy Learning via Stochastic Reward Estimation,2;3,dialog,,"Xinting Huang, Jianzhong Qi, Yu Sun and Rui Zhang"
Learning and Evaluating Emotion Lexicons for 91 Languages,2,word meaning,,"Sven Buechel, Susanna Rücker and Udo Hahn"
A Span-based Linearization for Constituent Trees,2,syntax parsing,,"Yang Wei, Yuanbin Wu and Man Lan"
Generalized Entropy Regularization or: There’s Nothing Special about Label Smoothing,2,model architecture,,"Clara Meister, Elizabeth Salesky and Ryan Cotterell"
Heterogeneous Graph Transformer for Graph-to-Sequence Learning,2,data-to-text generation,,"Shaowei Yao, Tianming Wang and Xiaojun Wan"
A Mixture of h − 1 Heads is Better than h Heads,2,model architecture,,"Hao Peng, Roy Schwartz, Dianqi Li and Noah A. Smith"
Breaking Through the 80% Glass Ceiling: Raising the State of the Art in Word Sense Disambiguation by Incorporating Knowledge Graph Information,2,word meaning,,Michele Bevilacqua and Roberto Navigli
AdvAug: Robust Adversarial Augmentation for Neural Machine Translation,3,machine translation; robustness,,"Yong Cheng, Lu Jiang, Wolfgang Macherey and Jacob Eisenstein"
TaPas: Weakly Supervised Table Parsing via Pre-training,2,semantic parsing,,"Jonathan Herzig, Pawel Krzysztof Nowak, Thomas Müller, Francesco Piccinno and Julian Eisenschlos"
Can We Predict New Facts with Open Knowledge Graph Embeddings? A Benchmark for Open Link Prediction,2,knowledge graph,,"Samuel Broscheit, Kiril Gashteovski, Yanjie Wang and Rainer Gemulla"
Compositionality and Generalization In Emergent Languages,1,emergent languages,,"Rahma Chaabouni, Eugene Kharitonov, Diane Bouchacourt, Emmanuel Dupoux and Marco Baroni"
Handling Rare Entities for Neural Sequence Labeling,2,semantic parsing,,"Yangming Li, Han Li, Kaisheng Yao and Xiaolong Li"
A Comprehensive Analysis of Preprocessing for Word Representation Learning in Affective Tasks,2,word meaning,,"Nastaran Babanejad, Ameeta Agrawal, Aijun An and Manos Papagelis"
