paper_name https://www.aclweb.org/anthology/events/acl-2020/#2020-acl-main,"Stage {1,2,3,4}",track https://acl2020.org/blog/general-conference-statistics/,"social good domain {bias mitigation, education, equality, fighting misinformation, green NLP, healthcare, interpretability, legal applications, low-resource language, mental healthcare, robustness, science literature parsing, and others}",author
(Re)construing Meaning in NLP,1,psycholinguistics,,"Sean Trott, Tiago Timponi Torrent, Nancy Chang and Nathan Schneider"
Multi-Cell Compositional LSTM for NER Domain Adaptation,2,tagging,,Chen Jia and Yue Zhang
KLEJ: Comprehensive Benchmark for Polish Language Understanding,2,low-resource,low-resource,"Piotr Rybak, Robert Mroczkowski, Janusz Tracz and Ireneusz Gawlik"
A Generate-and-Rank Framework with Semantic Type Regularization for Biomedical Concept Normalization,3,text normalization; healthcare,healthcare,"Dongfang Xu, Zeyu Zhang and Steven Bethard"
Learning to Identify Follow-Up Questions in Conversational Question Answering,2,dialog,,"Souvik Kundu, Qian Lin and Hwee Tou Ng"
SAS: Dialogue State Tracking via Slot Attention and Slot Information Sharing,3,dialog,,"Jiaying Hu, Yan Yang, Chencai Chen, Liang He and Zhou Yu"
Exploring Contextual Word-level Style Relevance for Unsupervised Style Transfer,3,style transfer,,"Chulun Zhou, Liangyu Chen, Jiachen Liu, Xinyan Xiao, Jinsong Su, Sheng Guo and Hua Wu"
Examining Citations of Natural Language Processing Literature,1,NLP field analysis,,Saif M. Mohammad
Inflecting when there’s no majority: Limitations of encoder-decoder neural networks as cognitive models for German plurals,2,morphology,,"Kate McCurdy, Sharon Goldwater and Adam Lopez"
Bridging Anaphora Resolution as Question Answering,2,coreference,,Yufang Hou
Dynamic Programming Encoding for Subword Segmentation in Neural Machine Translation,2,machine translation,,"Xuanli He, Gholamreza Haffari and Mohammad Norouzi"
The Right Tool for the Job: Matching Model and Instance Complexities,1,model development principles,,"Roy Schwartz, Gabriel Stanovsky, Swabha Swayamdipta, Jesse Dodge and Noah A. Smith"
Learning to Customize Model Structures for Few-shot Dialogue Generation Tasks,3,dialog; model architecture,,"Yiping Song, Zequn Liu, Wei Bi, Rui Yan and Ming Zhang"
Interpreting Pretrained Contextualized Representations via Reductions to Static Embeddings,2,word meaning,,"Rishi Bommasani, Kelly Davis and Claire Cardie"
Recurrent Neural Network Language Models Always Learn English-Like Relative Clause Attachment,2,language modeling; interpretability,,Forrest Davis and Marten van Schijndel
Balancing Objectives in Counseling Conversations: Advancing Forwards or Looking Backwards,4,mental healthcare,mental healthcare,Justine Zhang and Cristian Danescu-Niculescu-Mizil
Unsupervised Domain Clusters in Pretrained Language Models,2,language modeling,,Roee Aharoni and Yoav Goldberg
Unsupervised Opinion Summarization as Copycat-Review Generation,3,summarization,,"Arthur Bražinskas, Mirella Lapata and Ivan Titov"
Improving Massively Multilingual Neural Machine Translation and Zero-Shot Translation,3,machine translation,,"Biao Zhang, Philip Williams, Ivan Titov and Rico Sennrich"
Unknown Intent Detection Using Gaussian Mixture Model with an Application to Zero-shot Intent Classification,3,intent classification,,"Guangfeng Yan, Lu Fan, Qimai Li, Han Liu, Xiaotong Zhang, Xiao-Ming Wu and Albert Y.S. Lam"
Reasoning with Latent Structure Refinement for Document-Level Relation Extraction,2;3,information extraction,,"Guoshun Nan, Zhijiang Guo, Ivan Sekulic and Wei Lu"
Multi-Granularity Interaction Network for Extractive and Abstractive Multi-Document Summarization,3,summarization,,"Hanqi Jin, Tianming Wang and Xiaojun Wan"
Neural Mixed Counting Models for Dispersed Topic Discovery,2,topic modeling,,"Jiemin Wu, Yanghui Rao, Zusheng Zhang, Haoran Xie, Qing Li, Fu Lee Wang and Ziye Chen"
MLQA: Evaluating Cross-lingual Extractive Question Answering,3,question answering,,"Patrick Lewis, Barlas Oguz, Ruty Rinott, Sebastian Riedel and Holger Schwenk"
WinoWhy: A Deep Diagnosis of Essential Commonsense Knowledge for Answering Winograd Schema Challenge,2,question answering,,"Hongming Zhang, Xinran Zhao and Yangqiu Song"
From SPMRL to NMRL: What Did We Learn (and Unlearn) in a Decade of Parsing Morphologically-Rich Languages (MRLs)?,2,syntax parsing,,"Reut Tsarfaty, Dan Bareket, Stav Klein and Amit Seker"
Balancing Training for Multilingual Neural Machine Translation,3,machine translation,,"Xinyi Wang, Yulia Tsvetkov and Graham Neubig"
CompGuessWhat?!: A Multi-task Evaluation Framework for Grounded Language Learning,2,language grounding,,"Alessandro Suglia, Ioannis Konstas, Andrea Vanzo, Emanuele Bastianelli, Desmond Elliott, Stella Frank and Oliver Lemon"
Probing Linguistic Features of Sentence-Level Representations in Relation Extraction,2,information extraction,,"Christoph Alt, Aleksandra Gabryszak and Leonhard Hennig"
Interactive Classification by Asking Informative Questions,2,dialog,,"Lili Yu, Howard Chen, Sida I. Wang, Tao Lei and Yoav Artzi"
Syn-QG: Syntactic and Shallow Semantic Rules for Question Generation,2,syntax-based generation,,Kaustubh Dhole and Christopher D. Manning
DRTS Parsing with Structure-Aware Encoding and Decoding,2,semantic parsing,,"Qiankun Fu, Yue Zhang, Jiangming Liu and Meishan Zhang"
You Impress Me: Dialogue Generation via Mutual Persona Perception,3,dialog,,"Qian Liu, Yihong Chen, Bei Chen, Jian-Guang Lou, Zixuan Chen, Bin Zhou and Dongmei Zhang"
Predicting the Topical Stance and Political Leaning of Media using Tweets,4,misinformation,misinformation,"Peter Stefanov, Kareem Darwish, Atanas Atanasov and Preslav Nakov"
Dynamic Fusion Network for Multi-Domain End-to-end Task-Oriented Dialog,3,dialog,,"Libo Qin, Xiao Xu, Wanxiang Che, Yue Zhang and Ting Liu"
MIE: A Medical Information Extractor towards Medical Dialogues,4,information extraction; healthcare,healthcare,"Yuanzhe Zhang, Zhongtao Jiang, Tao Zhang, Shiwan Liu, Jiarun Cao, Kang Liu, Shengping Liu and Jun Zhao"
Zero-Shot Transfer Learning with Synthesized Data for Multi-Domain Dialogue State Tracking,2,dialog,,"Giovanni Campagna, Agata Foryciarz, Mehrad Moradshahi and Monica Lam"
A Self-Training Method for Machine Reading Comprehension with Soft Evidence Extraction,2,question answering,,"Yilin Niu, Fangkai Jiao, Mantong Zhou, Ting Yao, Jingfang Xu and Minlie Huang"
"It Takes Two to Lie: One to Lie, and One to Listen",4,misinformation,misinformation,"Denis Peskov, Benny Cheng, Ahmed Elgohary, Joe Barrow, Cristian Danescu-Niculescu-Mizil and Jordan Boyd-Graber"
Predictive Biases in Natural Language Processing Models: A Conceptual Framework and Overview,2,bias,bias,"Deven Santosh Shah, H. Andrew Schwartz and Dirk Hovy"
A Unified MRC Framework for Named Entity Recognition,2,information extraction,,"Xiaoya Li, Jingrong Feng, Yuxian Meng, Qinghong Han, Fei Wu and Jiwei Li"
Agreement Prediction of Arguments in Cyber Argumentation for Detecting Stance Polarity and Intensity,3,sentiment and argument analysis,,"Joseph Sirrianni, Xiaoqing Liu and Douglas Adams"
Fast and Accurate Non-Projective Dependency Tree Linearization,2;3,syntax-based generation,,"Xiang Yu, Simon Tannert, Ngoc Thang Vu and Jonas Kuhn"
SenseBERT: Driving Some Sense into BERT,2,language modeling; interpretability,,"Yoav Levine, Barak Lenz, Or Dagan, Ori Ram, Dan Padnos, Or Sharir, Shai Shalev-Shwartz, Amnon Shashua and Yoav Shoham"
Generating Hierarchical Explanations on Text Classification via Feature Interaction Detection,2,sentiment and argument analysis; interpretability,,"Hanjie Chen, Guangtao Zheng and Yangfeng Ji"
Knowledge Graph Embedding Compression,2,knowledge graph; greenNLP,greenNLP,Mrinmaya Sachan
"BART: Denoising Sequence-to-Sequence Pre-training for Natural Language Generation, Translation, and Comprehension",2,language modeling,,"Mike Lewis, Yinhan Liu, Naman Goyal, Marjan Ghazvininejad, Abdelrahman Mohamed, Omer Levy, Veselin Stoyanov and Luke Zettlemoyer"
Modelling Suspense in Short Stories as Uncertainty Reduction over Neural Representation,3,suspense,,David Wilmot and Frank Keller
Interactive Machine Comprehension with Information Seeking Agents,3,question answering,,"Xingdi Yuan, Jie Fu, Marc-Alexandre Côté, Yi Tay, Chris Pal and Adam Trischler"
Efficient Dialogue State Tracking by Selectively Overwriting Memory,4,dialog; greenNLP,greenNLP,"Sungdong Kim, Sohee Yang, Gyuwan Kim and Sang-Woo Lee"
Large Scale Multi-Actor Generative Dialog Modeling,3;4,dialog,,"Alex Boyd, Raul Puri, Mohammad Shoeybi, Mostofa Patwary and Bryan Catanzaro"
Multi-Domain Dialogue Acts and Response Co-Generation,3;4,dialog,,"Kai Wang, Junfeng Tian, Rui Wang, Xiaojun Quan and Jianxing Yu"
Reasoning Over Semantic-Level Graph for Fact Checking,4,misinformation,,"Wanjun Zhong, Jingjing Xu, Duyu Tang, Zenan Xu, Nan Duan, Ming Zhou, Jiahai Wang and Jian Yin"
The TechQA Dataset,2,question answering,,"Vittorio Castelli, Rishav Chakravarti, Saswati Dana, Anthony Ferritto, Radu Florian, Martin Franz, Dinesh Garg, Dinesh Khandelwal, Scott McCarley, Michael McCawley, Mohamed Nasr, Lin Pan, Cezar Pendus, John Pitrelli, Saurabh Pujar, Salim Roukos, Andrzej Sakrajda, Avi Sil, Rosario Uceda-Sosa, Todd Ward and Rong Zhang"
"Attend, Translate and Summarize: An Efficient Method for Neural Cross-Lingual Summarization",3,summarization,,"Junnan Zhu, Yu Zhou, Jiajun Zhang and Chengqing Zong"
In Layman’s Terms: Semi-Open Relation Extraction from Scientific Texts,4,information extraction,science literature,"Ruben Kruiper, Julian Vincent, Jessica Chen-Burger, Marc Desmulliez and Ioannis Konstas"
Multi-source Meta Transfer for Low Resource Multiple-Choice Question Answering,3,question answering,,"Ming Yan, Hao Zhang, Di Jin and Joey Tianyi Zhou"
KdConv: A Chinese Multi-domain Dialogue Dataset Towards Multi-turn Knowledge-driven Conversation,2,dialog,,"Hao Zhou, Chujie Zheng, Kaili Huang, Minlie Huang and Xiaoyan Zhu"
A Contextual Hierarchical Attention Network with Adaptive Objective for Dialogue State Tracking,3,dialog,,"Yong Shan, Zekang Li, Jinchao Zhang, Fandong Meng, Yang Feng, Cheng Niu and Jie Zhou"
Spelling Error Correction with Soft-Masked BERT,4,grammatical error correction,,"Shaohua Zhang, Haoran Huang, Jicong Liu and Hang Li"
BPE-Dropout: Simple and Effective Subword Regularization,2,model architecture,,"Ivan Provilkov, Dmitrii Emelianenko and Elena Voita"
Language to Network: Conditional Parameter Adaptation with Natural Language Descriptions,2,code,,"Tian Jin, Zhun Liu, Shengjia Yan, Alexandre Eichenberger and Louis-Philippe Morency"
NeuInfer: Knowledge Inference on N-ary Facts,2,knowledge graph; inference,,"Saiping Guan, Xiaolong Jin, Jiafeng Guo, Yuanzhuo Wang and Xueqi Cheng"
Single-/Multi-Source Cross-Lingual NER via Teacher-Student Learning on Unlabeled Data in Target Language,3,low-resource; information extraction,,"Qianhui Wu, Zijia Lin, Börje Karlsson, Jian-Guang Lou and Biqing Huang"
Gender Bias in Multilingual Embeddings and Cross-Lingual Transfer,2,bias; word meaning,,"Jieyu Zhao, Subhabrata Mukherjee, Saghar Hosseini, Kai-Wei Chang and Ahmed Hassan Awadallah"
Gated Convolutional Bidirectional Attention-based Model for Off-topic Spoken Response Detection,3;4,dialog,,"Yefei Zha, Ruobing Li and Hui Lin"
A Corpus for Large-Scale Phonetic Typology,2,phonology,,"Elizabeth Salesky, Eleanor Chodroff, Tiago Pimentel, Matthew Wiesner, Ryan Cotterell, Alan W Black and Jason Eisner"
CluBERT: A Cluster-Based Approach for Learning Sense Distributions in Multiple Languages,2,word meaning,,"Tommaso Pasini, Federico Scozzafava and Bianca Scarlini"
A Top-down Neural Architecture towards Text-level Parsing of Discourse Rhetorical Structure,2,semantic parsing,,"Longyin Zhang, Yuqing Xing, Fang Kong, Peifeng Li and Guodong Zhou"
Autoencoding Pixies: Amortised Variational Inference with Graph Convolutions for Functional Distributional Semantics,2,model architecture,,Guy Emerson
Text-Based Ideal Points,3,legal and political text; social media,,"Keyon Vafa, Suresh Naidu and David Blei"
ZeroShotCeres: Zero-Shot Relation Extraction from Semi-Structured Webpages,2,information extraction,,"Colin Lockard, Prashant Shiralkar, Xin Luna Dong and Hannaneh Hajishirzi"
SMART: Robust and Efficient Fine-Tuning for Pre-trained Natural Language Models through Principled Regularized Optimization,2,model architecture,,"Haoming Jiang, Pengcheng He, Weizhu Chen, Xiaodong Liu, Jianfeng Gao and Tuo Zhao"
CamemBERT: a Tasty French Language Model,2,model architecture; low-resource,,"Louis Martin, Benjamin Muller, Pedro Javier Ortiz Suárez, Yoann Dupont, Laurent Romary, Éric de la Clergerie, Djamé Seddah and Benoît Sagot"
Harvesting and Refining Question-Answer Pairs for Unsupervised QA,3,question answering,,"Zhongli Li, Wenhui Wang, Li Dong, Furu Wei and Ke Xu"
Discourse as a Function of Event: Profiling Discourse Structure in News Articles around the Main Event,3,semantic parsing; news,,"Prafulla Kumar Choubey, Aaron Lee, Ruihong Huang and Lu Wang"
Span-based Localizing Network for Natural Language Video Localization,3,language grounding,,"Hao Zhang, Aixin Sun, Wei Jing and Joey Tianyi Zhou"
DTCA: Decision Tree-based Co-Attention Networks for Explainable Claim Verification,4,misinformation; interpretability,,"Lianwei Wu, Yuan Rao, Yongqiang Zhao, Hao Liang and Ambreen Nazir"
Fine-Grained Analysis of Cross-Linguistic Syntactic Divergences,1,linguistics,,"Dmitry Nikolaev, Ofir Arviv, Taelin Karidi, Neta Kenneth, Veronika Mitnik, Lilja Maria Saeboe and Omri Abend"
Curriculum Pre-training for End-to-End Speech Translation,4,speech; machine translation,,"Chengyi Wang, Yu Wu, Shujie Liu, Ming Zhou and Zhenglu Yang"
The State and Fate of Linguistic Diversity and Inclusion in the NLP World,1,linguistics,,"Pratik Joshi, Sebastin Santy, Amar Budhiraja, Kalika Bali and Monojit Choudhury"
Predicting the Focus of Negation: Model and Error Analysis,2,semantic parsing,,"Md Mosharaf Hossain, Kathleen Hamilton, Alexis Palmer and Eduardo Blanco"
Automatic Poetry Generation from Prosaic Text,4,poetry generation,,Tim Van de Cruys
Building a User-Generated Content North-African Arabizi Treebank: Tackling Hell,2,syntax parsing; low-resource,,"Djamé Seddah, Farah Essaidi, Amal Fethi, Matthieu Futeral, Benjamin Muller, Pedro Javier Ortiz Suárez, Benoît Sagot and Abhishek Srivastava"
Towards Understanding Gender Bias in Relation Extraction,2,bias; information extraction,,"Andrew Gaut, Tony Sun, Shirlyn Tang, Yuxin Huang, Jing Qian, Mai ElSherief, Jieyu Zhao, Diba Mirza, Elizabeth Belding, Kai-Wei Chang and William Yang Wang"
Storytelling with Dialogue: A Critical Role Dungeons and Dragons Dataset,4,dialog; story generaton,,Revanth Rameshkumar and Peter Bailey
A Study of Non-autoregressive Model for Sequence Generation,2,model architecture,,"Yi Ren, Jinglin Liu, Xu Tan, Zhou Zhao, Sheng Zhao and Tie-Yan Liu"
Weight Poisoning Attacks on Pretrained Models,2,robustness,,"Keita Kurita, Paul Michel and Graham Neubig"
SpellGCN: Incorporating Phonological and Visual Similarities into Language Models for Chinese Spelling Check,4,grammatical error correction,,"Xingyi Cheng, Weidi Xu, Kunlong Chen, Shaohua Jiang, Feng Wang, Taifeng Wang, Wei Chu and Yuan Qi"
Pre-train and Plug-in: Flexible Conditional Text Generation with Variational Auto-Encoders,2,model architecture,,"Yu Duan, Canwen Xu, Jiaxin Pei, Jialong Han and Chenliang Li"
Generating Counter Narratives against Online Hate Speech: Data and Strategies,4,toxic language,,"Serra Sinem Tekiroğlu, Yi-Ling Chung and Marco Guerini"
Toxicity Detection: Does Context Really Matter?,3,toxic language,,"John Pavlopoulos, Jeffrey Sorensen, Lucas Dixon, Nithum Thain and Ion Androutsopoulos"
"“Who said it, and Why?” Provenance for Natural Language Claims",4,misinformation,,"Yi Zhang, Zachary Ives and Dan Roth"
A Generative Model for Joint Natural Language Understanding and Generation,2,model architecture; information extraction; data-to-text generation,,"Bo-Hsiang Tseng, Jianpeng Cheng, Yimai Fang and David Vandyke"
Exploring Unexplored Generalization Challenges for Cross-Database Semantic Parsing,2,semantic parsing; robustness,,"Alane Suhr, Ming-Wei Chang, Peter Shaw and Kenton Lee"
MART: Memory-Augmented Recurrent Transformer for Coherent Video Paragraph Captioning,3,caption generation,,"Jie Lei, Liwei Wang, Yelong Shen, Dong Yu, Tamara Berg and Mohit Bansal"
Learning Efficient Dialogue Policy from Demonstrations through Shaping,3,dialog,,"Huimin Wang, Baolin Peng and Kam-Fai Wong"
MMPE: A Multi-Modal Interface for Post-Editing Machine Translation,4,machine translation,,"Nico Herbig, Tim Düwel, Santanu Pal, Kalliopi Maria Meladaki, Mahsa Monshizadeh, Antonio Krüger and Josef van Genabith"
Modeling Morphological Typology for Unsupervised Learning of Language Morphology,2,morphology,,"Hongzhi Xu, Jordan Kodner, Mitchell Marcus and Charles Yang"
A Monolingual Approach to Contextualized Word Embeddings for Mid-Resource Languages,2,low-resource; word meaning,,"Pedro Javier Ortiz Suárez, Laurent Romary and Benoît Sagot"
Beyond Possession Existence: Duration and Co-Possession,4,semantic parsing,,"Dhivya Chinnappa, Srikala Murugan and Eduardo Blanco"
Grounding Conversations with Improvised Dialogues,3,dialog; language grounding,,Hyundong Cho and Jonathan May
Improving Segmentation for Technical Support Problems,3,segmentation,,Kushal Chauhan and Abhirut Gupta
Don’t Stop Pretraining: Adapt Language Models to Domains and Tasks,2,model architecture; greenNLP,,"Suchin Gururangan, Ana Marasović, Swabha Swayamdipta, Kyle Lo, Iz Beltagy, Doug Downey and Noah A. Smith"
KinGDOM: Knowledge-Guided DOMain adaptation for sentiment analysis,3; 4,sentiment and argument analysis,,"Deepanway Ghosal, Devamanyu Hazarika, Abhinaba Roy, Navonil Majumder, Rada Mihalcea and Soujanya Poria"
Taxonomy Construction of Unseen Domains via Graph-based Cross-Domain Knowledge Transfer,2,knowledge graph,,"Chao Shang, Sarthak Dash, Md Faisal Mahbub Chowdhury, Nandana Mihindukulasooriya and Alfio Gliozzo"
Improving Multi-hop Question Answering over Knowledge Graphs using Knowledge Base Embeddings,3;4,question answering; knowledge graph,,"Apoorv Saxena, Aditay Tripathi and Partha Talukdar"
Leveraging Graph to Improve Abstractive Multi-Document Summarization,3;4,summarization,,"Wei Li, Xinyan Xiao, Jiachen Liu, Hua Wu, Haifeng Wang and Junping Du"
Explicit Semantic Decomposition for Definition Generation,3,data-to-text generation,,"Jiahuan Li, Yu Bao, Shujian Huang, Xinyu Dai and Jiajun Chen"
Fast and Accurate Deep Bidirectional Language Representations for Unsupervised Learning,2,model architecture,,"Joongbo Shin, Yoonhyung Lee, Seunghyun Yoon and Kyomin Jung"
Translationese as a Language in “Multilingual” NMT,3;4,machine translation,,"Parker Riley, Isaac Caswell, Markus Freitag and David Grangier"
Pretraining with Contrastive Sentence Objectives Improves Discourse Performance of Language Models,2,model architecture,,"Dan Iter, Kelvin Guu, Larry Lansing and Dan Jurafsky"
Zero-shot Text Classification via Reinforced Self-training,3,sentiment and argument analysis,,"Zhiquan Ye, Yuxia Geng, Jiaoyan Chen, Jingmin Chen, Xiaoxiao Xu, Suhang Zheng, Feng Wang, Jun Zhang and Huajun Chen"
Hierarchical Entity Typing via Multi-level Learning to Rank,2,information extraction; knowledge graph,,"Tongfei Chen, Yunmo Chen and Benjamin Van Durme"
GLUECoS: An Evaluation Benchmark for Code-Switched NLP,2,machine translation,,"Simran Khanuja, Sandipan Dandapat, Anirudh Srinivasan, Sunayana Sitaram and Monojit Choudhury"
Semi-Supervised Semantic Dependency Parsing Using CRF Autoencoders,2,syntax parsing; semantic parsing,,"Zixia Jia, Youmi Ma, Jiong Cai and Kewei Tu"
Multiscale Collaborative Deep Models for Neural Machine Translation,3,machine translation,,"Xiangpeng Wei, Heng Yu, Yue Hu, Yue Zhang, Rongxiang Weng and Weihua Luo"
NAT: Noise-Aware Training for Robust Neural Sequence Labeling,2,semantic parsing,,"Marcin Namysl, Sven Behnke and Joachim Köhler"
Highway Transformer: Self-Gating Enhanced Self-Attentive Networks,2,model architecture,,"Yekun Chai, Shuo Jin and Xinwen Hou"
Cross-Lingual Semantic Role Labeling with High-Quality Translated Training Corpus,2,semantic parsing,,"Hao Fei, Meishan Zhang and Donghong Ji"
Improving Transformer Models by Reordering their Sublayers,2,model architecture,,"Ofir Press, Noah A. Smith and Omer Levy"
ESPRIT: Explaining Solutions to Physical Reasoning Tasks,3,interpretability; inference,,"Nazneen Fatema Rajani, Rui Zhang, Yi Chern Tan, Stephan Zheng, Jeremy Weiss, Aadit Vyas, Abhijit Gupta, Caiming Xiong, Richard Socher and Dragomir Radev"
ERASER: A Benchmark to Evaluate Rationalized NLP Models,2; 3,interpretability,interpretability,"Jay DeYoung, Sarthak Jain, Nazneen Fatema Rajani, Eric Lehman, Caiming Xiong, Richard Socher and Byron C. Wallace"
BLEURT: Learning Robust Metrics for Text Generation,2,metric,,"Thibault Sellam, Dipanjan Das and Ankur Parikh"
Gender Gap in Natural Language Processing Research: Disparities in Authorship and Citations,2,bias,bias,Saif M. Mohammad
BabyWalk: Going Farther in Vision-and-Language Navigation by Taking Baby Steps,3,language grounding,,"Wang Zhu, Hexiang Hu, Jiacheng Chen, Zhiwei Deng, Vihan Jain, Eugene Ie and Fei Sha"
Review-based Question Generation with Adaptive Instance Transfer and Augmentation,2,question answering,,"Qian Yu, Lidong Bing, Qiong Zhang, Wai Lam and Luo Si"
On the Encoder-Decoder Incompatibility in Variational Text Modeling and Beyond,2,model architecture,,"Chen Wu, Prince Zizhuang Wang and William Yang Wang"
One Size Does Not Fit All: Generating and Evaluating Variable Number of Keyphrases,3,topic modeling,,"Xingdi Yuan, Tong Wang, Rui Meng, Khushboo Thaker, Peter Brusilovsky, Daqing He and Adam Trischler"
Structure-Level Knowledge Distillation For Multilingual Sequence Labeling,2,information extraction,,"Xinyu Wang, Yong Jiang, Nguyen Bach, Tao Wang, Fei Huang and Kewei Tu"
Phonetic and Visual Priors for Decipherment of Informal Romanization,3,word transformation,,"Maria Ryskina, Matthew R. Gormley and Taylor Berg-Kirkpatrick"
FEQA: A Question Answering Evaluation Framework for Faithfulness Assessment in Abstractive Summarization,3,summarization; misinformation,misinformation,"Esin Durmus, He He and Mona Diab"
Sources of Transfer in Multilingual Named Entity Recognition,2,information extraction,,"David Mueller, Nicholas Andrews and Mark Dredze"
Automated Evaluation of Writing – 50 Years and Counting,2,metric,,Beata Beigman Klebanov and Nitin Madnani
Learning to Deceive with Attention-Based Explanations,2,interpretability; model architecture,,"Danish Pruthi, Mansi Gupta, Bhuwan Dhingra, Graham Neubig and Zachary C. Lipton"
Improving Disfluency Detection by Self-Training a Self-Attentive Model,3,speech,,Paria Jamshid Lou and Mark Johnson
Enhancing Cross-target Stance Detection with Transferable Semantic-Emotion Knowledge,3,stance detection,,"Bowen Zhang, Min Yang, Xutao Li, Yunming Ye, Xiaofei Xu and Kuai Dai"
Response-Anticipated Memory for On-Demand Knowledge Integration in Response Generation,3,dialog,,"Zhiliang Tian, Wei Bi, Dongkyu Lee, Lanqing Xue, Yiping Song, Xiaojiang Liu and Nevin L. Zhang"
"To Test Machine Comprehension, Start by Defining Comprehension",2,question answering,,"Jesse Dunietz, Greg Burnham, Akash Bharadwaj, Owen Rambow, Jennifer Chu-Carroll and Dave Ferrucci"
XtremeDistil: Multi-stage Distillation for Massive Multilingual Models,2,model architecture; greenNLP,,Subhabrata Mukherjee and Ahmed Hassan Awadallah
